leftTime,leftX,leftY,leftZ,rightTime,rightX,rightY,rightZ
0,0.020965576171875,0.0528564453125,-0.99560546875,409,0.0065460205078125,0.018585205078125,-0.986480712890625
100,0.0205078125,0.052001953125,-0.99639892578125,475,0.0080108642578125,0.0191497802734375,-0.987396240234375
201,0.0206146240234375,0.0527496337890625,-0.9957122802734375,576,0.0095672607421875,0.019287109375,-0.9864959716796875
316,0.0204010009765625,0.052490234375,-0.99566650390625,678,0.00836181640625,0.0198211669921875,-0.986907958984375
416,0.0207672119140625,0.0529937744140625,-0.99554443359375,786,0.007354736328125,0.0186767578125,-0.9876861572265625
516,0.0202789306640625,0.05267333984375,-0.995391845703125,882,0.0083465576171875,0.02032470703125,-0.98712158203125
613,0.0209197998046875,0.0532379150390625,-0.9952545166015625,980,0.0081634521484375,0.0181884765625,-0.98797607421875
711,0.019561767578125,0.0516815185546875,-0.9953765869140625,1079,0.008087158203125,0.0183563232421875,-0.986602783203125
813,0.0204315185546875,0.051666259765625,-0.9962310791015625,1179,0.0087127685546875,0.01904296875,-0.987152099609375
913,0.0204010009765625,0.0528106689453125,-0.9954071044921875,1279,0.008148193359375,0.0198822021484375,-0.988250732421875
1013,0.020477294921875,0.0522613525390625,-0.99578857421875,1382,0.0080413818359375,0.018524169921875,-0.9871673583984375
1109,0.020721435546875,0.0529937744140625,-0.9955291748046875,1482,0.0083465576171875,0.0191802978515625,-0.9871063232421875
1213,0.02044677734375,0.0529022216796875,-0.9970245361328125,1580,0.00848388671875,0.0200653076171875,-0.9866180419921875
1304,0.020477294921875,0.0521240234375,-0.9957122802734375,1680,0.0085906982421875,0.0190887451171875,-0.9882049560546875
1413,0.0206298828125,0.0531158447265625,-0.996185302734375,1780,0.0084991455078125,0.01861572265625,-0.98822021484375
1503,0.0205535888671875,0.0523223876953125,-0.9966583251953125,1880,0.0084228515625,0.0185089111328125,-0.98687744140625
1612,0.020172119140625,0.052337646484375,-0.99615478515625,1980,0.0088043212890625,0.019195556640625,-0.98681640625
1703,0.02081298828125,0.0522613525390625,-0.996612548828125,2080,0.0085906982421875,0.018524169921875,-0.9883575439453125
1813,0.0197601318359375,0.053009033203125,-0.9960174560546875,2180,0.0084228515625,0.0184326171875,-0.9868316650390625
1902,0.0205230712890625,0.0525054931640625,-0.99609375,2279,0.0085906982421875,0.0189208984375,-0.987640380859375
2011,0.0211029052734375,0.0532989501953125,-0.9959259033203125,2379,0.0087890625,0.0186920166015625,-0.987762451171875
2102,0.0208587646484375,0.0530853271484375,-0.99530029296875,2481,0.0083465576171875,0.0194854736328125,-0.9873504638671875
2213,0.02130126953125,0.0525665283203125,-0.996826171875,2581,0.009033203125,0.0188751220703125,-0.986114501953125
2299,0.0199432373046875,0.052703857421875,-0.9955596923828125,2681,0.0098876953125,0.0182342529296875,-0.987701416015625
2412,0.0203399658203125,0.0528717041015625,-0.9958343505859375,2781,0.0098724365234375,0.019256591796875,-0.9883270263671875
2499,0.02032470703125,0.0522918701171875,-0.995452880859375,2881,0.0081634521484375,0.0189208984375,-0.9876861572265625
2610,0.020721435546875,0.052459716796875,-0.9961700439453125,2982,0.00830078125,0.0187835693359375,-0.987762451171875
2699,0.01983642578125,0.0525665283203125,-0.996734619140625,3082,0.0091705322265625,0.0195770263671875,-0.9873809814453125
2807,0.0208892822265625,0.05291748046875,-0.9962158203125,3180,0.009613037109375,0.0187835693359375,-0.986328125
2898,0.0201568603515625,0.05316162109375,-0.99688720703125,3280,0.0082550048828125,0.0185546875,-0.9879150390625
3009,0.020263671875,0.0536346435546875,-0.995086669921875,3380,0.008331298828125,0.0181732177734375,-0.9851531982421875
3098,0.0210113525390625,0.05279541015625,-0.9958343505859375,3482,0.0086822509765625,0.0185394287109375,-0.9877166748046875
3200,0.0207672119140625,0.0523529052734375,-0.9967041015625,3581,0.0094146728515625,0.0191192626953125,-0.98968505859375
3300,0.02020263671875,0.0525665283203125,-0.99639892578125,3681,0.014068603515625,0.017913818359375,-1.0192108154296875
3397,0.0203857421875,0.0528106689453125,-0.996612548828125,3781,0.0027923583984375,0.018798828125,-0.9860382080078125
3499,0.0202484130859375,0.052825927734375,-0.9969635009765625,3881,0.0047760009765625,0.025543212890625,-0.9877777099609375
3599,0.0214080810546875,0.054168701171875,-0.9957275390625,3896,-0.031341552734375,0.1103363037109375,-0.9889373779296875
3697,0.0259246826171875,0.050048828125,-0.999786376953125,3991,-0.015838623046875,0.0555877685546875,-0.997650146484375
3796,0.024169921875,0.04913330078125,-0.999542236328125,4092,-0.0519561767578125,0.1148223876953125,-0.887969970703125
3896,0.02001953125,0.0519561767578125,-0.988250732421875,4193,-0.087066650390625,0.07574462890625,-1.000274658203125
3991,-0.0277557373046875,0.06842041015625,-1.01202392578125,4294,-0.104034423828125,0.085357666015625,-0.9388275146484375
4090,0.126800537109375,0.1979827880859375,-1.0988922119140625,4394,-0.190826416015625,0.1457977294921875,-0.7664031982421875
4190,0.0255126953125,0.1995849609375,-1.1449737548828125,4495,-0.2136077880859375,0.273193359375,-1.058990478515625
4290,0.1456756591796875,0.2205810546875,-1.461334228515625,4595,-0.260467529296875,0.466400146484375,-1.1094818115234375
4389,-0.3308563232421875,0.3989715576171875,-1.133453369140625,4697,0.0457763671875,0.53375244140625,-1.148681640625
4489,-0.486907958984375,-0.0466156005859375,-0.646575927734375,4796,0.4082183837890625,0.320220947265625,-0.7587890625
4589,-0.749114990234375,0.0326995849609375,-0.44622802734375,4897,0.5428466796875,0.09637451171875,-0.483795166015625
