leftTime,leftX,leftY,leftZ,rightTime,rightX,rightY,rightZ
90,-0.7920243144035339,-0.6068273186683655,-0.034892480820417404,0,0.5818594098091125,-0.5167079567909241,-0.5778602361679077
190,-0.8015405535697937,-0.6104884743690491,-0.019032545387744904,100,0.6150407791137695,-0.5176846981048584,-0.5948285460472107
299,-0.7776285409927368,-0.6080487370491028,-0.007807824295014143,206,0.5960103273391724,-0.515731155872345,-0.6030701994895935
397,-0.8198402523994446,-0.5702279210090637,-0.006343662738800049,307,0.62138432264328,-0.5079168081283569,-0.6185840368270874
505,-0.8713239431381226,-0.5587604641914368,-0.029524406418204308,410,0.5686845183372498,-0.5416160821914673,-0.6180992126464844
599,-0.8625405430793762,-0.551439642906189,-0.02195931226015091,509,0.5389188528060913,-0.556756317615509,-0.579799473285675
712,-0.8874281644821167,-0.5465601682662964,-0.028304530307650566,613,0.5677086114883423,-0.5577331185340881,-0.585617184638977
804,-1.4317913055419922,-0.33793970942497253,-0.19715145230293274,714,0.5691725015640259,-0.5347785353660583,-0.6200385093688965
907,-1.3171122074127197,-0.43529632687568665,-0.08954725414514542,818,0.5535576939582825,-0.52159184217453,-0.6176144480705261
1010,-1.0128434896469116,-0.4108957052230835,0.04026055335998535,919,0.5481901168823242,-0.5391740798950195,-0.6234320998191833
1121,-0.8981643319129944,-0.19690872728824615,0.06002440303564072,1023,0.666824460029602,-0.5348064303398132,-0.574952244758606
1212,-0.4406644105911255,0.0068322354927659035,0.05294787883758545,1123,0.6190091967582703,-0.4893879294395447,-0.6263418197631836
1313,-0.3701481521129608,0.05807166546583176,0.005368073936551809,1225,0.5833931565284729,-0.46692410111427307,-0.709243893623352
1419,-0.676367998123169,0.04831266403198242,0.0158599354326725,1327,0.6546405553817749,-0.4542282223701477,-0.7426956295967102
1528,-1.2117034196853638,-0.29035988450050354,0.06368402391672134,1431,0.7317433953285217,-0.40685614943504333,-0.9598894119262695
1621,-1.2346398830413818,-0.5350927114486694,0.07295601069927216,1530,0.9835361838340759,-0.65838223695755,-1.0631533861160278
1722,-1.1973075866699219,-0.5602246522903442,-0.08857166022062302,1632,0.8039716482162476,-0.1314057558774948,-1.043761134147644
1835,-1.2578206062316895,-0.6295194625854492,-0.10052768886089325,1733,1.167507290840149,-0.2789035141468048,-1.0936964750289917
1929,-1.1375274658203125,-0.44798365235328674,0.09540389478206635,1834,0.8371627926826477,-0.2090652585029602,-0.4324193000793457
